course_number,title,credit_hours,description,prerequisites,corequisites,level,cross_listings,source_url,source,conflict,conflict_note,credit_min,credit_max,division,department,college,restrictions,course_attributes,core_attributes,term_effective,first_term_listed,first_term_name,last_term_listed,last_term_name,terms_listed_count,currently_listed,catalog_nd_edu_match
CSE 60132,Basic Computing for Bioinformatics,3,"This course will introduce graduate students focusing in the biological sciences to bioinformatics computing. Topics include: the basics of the UNIX command line (with a focus on OSX and Linux), installation of common bioinformatics tools (such as BLAST), basic data analysis/manipulation, and useful programming techniques with an emphasis on scripting languages such as Perl and R. Graduate credit for non-CSE majors only.",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202120,banner,,,3,3,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Architecture (GA) Graduate Non-Degree (GD) Graduate (GR) Cannot be enrolled in one of the following Departments: Computer Science and Engr. (CSE) Must be enrolled in one of the following Campuses: Main (M),,,201310,201310,Fall Semester 2013 (View Only),202120,Spring Semester 2022 (View Only),32,N,
CSE 60145,Scientific Workflow Management,1.5,"This course is designed to provide students with the tools and techniques necessary for managing medium- to large-scale scientific workflows consisting of thousands of tasks. It will cover commonly used tools (Condor, Hadoop, etc.) and provide an introduction to the challenges encountered when working with large workflows as well as the techniques used to handle them. This course is designed for graduate students in science and engineering who wish to create workflows that support their research.",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=201700,banner,,,1.5,1.5,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Architecture (GA) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,201120,201120,Spring Semester 2012 (View Only),201700,Summer Session 2017 (View Only),24,N,
CSE 60151,Automated Identity Technology Using Iris Texture,1.5,"Can the texture pattern of the iris be used to create a reliable, unique identifier for each person on planet Earth? This course explores the technology of iris biometrics in depth: the underlying conceptual theory, image acquisition, image segmentation, texture analysis, matching of texture representations, identity management systems, and a selection of current research issues. The course includes readings from the literature, short writing assignments, and practical experience with current commercial iris biometric technology.",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=201720,banner,,,1.5,1.5,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Architecture (GA) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,201010,201010,Fall Semester 2010 (View Only),201720,Spring Semester 2018 (View Only),32,N,
CSE 60152,Autom ID Techn - Face Recogn,1.5,,,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=201550,banner,,,1.5,1.5,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Architecture (GA) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,201020,201020,Spring Semester 2011 (View Only),201550,Year 2015-16 (View Only),22,N,
CSE 60166,Computer Graphics,3,"Introduction to interactive computer graphics. Key topics include graphics pipeline, WebGL + GLSL programming, geometric objects and transformation, modeling and viewing, interaction and animation, lighting and shading, and texture mapping. Students are expected to learn fundamental knowledge of computer graphics, essential hands-on experience in WebGL programming, state-of-the-art shader-based, GPU-accelerated graphics, and popular library for cross-browser 3D graphics.",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,,,3,3,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,200400,200500,Summer Session 2005 (View Only),202610,Fall Semester 2026,80,Y,
CSE 60171,Artificial Intelligence,3,"A broad overview of the field of Artificial Intelligence (AI), including its historical and philosophical foundations, classical and contemporary approaches, cognitive systems, and recent trends and applications. Topics include traditional AI techniques (e.g., searching, problem solving, knowledge representation and reasoning, planning, constraint satisfaction, decision making), probabilistic and network based approaches (e.g., Bayesian models, neural networks), computational models of cognition (e.g., models of perception, action, memory, cognitive architectures), and recent developments in natural language processing, speech recognition, robotics, human-computer interaction, machine learning, and computational emotions.",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=201920,banner,Y,2 catalog versions of CSE 60171 differ by title/description (term_effective 200400),3,3,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,200400,200500,Summer Session 2005 (View Only),201920,Spring Semester 2020 (View Only),59,N,
CSE 60171,AI and Social Good,3,"To reap the benefits of innovations stemming from AI, there will also have to be a framework that demonstrates alignment with societal needs and grand challenge problems, algorithmic and data responsibility, and knowledge of and compliance with best practices, coupled with a human-driven value system of sound judgment. This course will provide a foundation for Artificial Intelligence on concepts in machine learning and deep learning, decision making, and agents. In addition, the course will incorporate a discussion on ethics through reviews, discussions, and invited speakers. Utilizing an experiential learning framework, this course will involve applications of AI methods to social good problem spaces through a class project. This course will be a mix of lectures, seminars, and experiential learning opportunities. The course is open to both upper-level undergraduate and graduate students. However, it is an expectation that the graduate students will have an additional set of assignments, including a literature review paper. The graduate students will be encouraged to incorporate their research interests, as applicable, in development of their class projects.",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,Y,2 catalog versions of CSE 60171 differ by title/description (term_effective 202000),3,3,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,202000,202000,Summer Session 2020 (View Only),202610,Fall Semester 2026,21,Y,
CSE 60222,Blockchain,3,"This course discusses foundational principles of blockchain technology (consensus mechanisms, decentralized trust-free systems, immutability). Notable applications of blockchain technology will be discussed (e.g., digital currency, credentialing, digital contracts, distributed applications) and students will gain working familiarity with software tools, libraries, and APIs that are used to implement blockchains of different types.",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202420,banner,,,3,3,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Architecture (GA) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,201820,201820,Spring Semester 2019 (View Only),202420,Spring Semester 2025 (View Only),20,N,
CSE 60232,Software Engineering,3,"Software Engineering is an engineering discipline that is concerned with all aspects of producing high-quality, cost-effective and maintainable software systems. This course provides an introduction to the most important tasks of a software engineer: requirements engineering, software design, implementation and testing, documentation and project management. A medium-scale design project combined with individual assignments complement the lectures.",Computer Science and Engr. 30331 OR Computer Science and Engr. 34331,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202100,banner,,,3,3,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,200400,200500,Summer Session 2005 (View Only),202100,Summer Session 2021 (View Only),63,N,
CSE 60236,Optimization for Big Data Applications,3,"Large complex systems can be modeled using the discoverable relationships and constraints amongst their derived big data sets. Engineers and decision makers may wish to identify designs and actions that yield optimal outcomes for those systems. The course will introduce the student to methods used to formulate and solve big data optimizations: linear, integer, and nonlinear systems, especially constrained systems. The course will include readings about cases studies and use several open source and commercial packages to solve representative problems.",,,grad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202300,banner,,,3,3,Graduate School,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Architecture (GA) Graduate Non-Degree (GD) Graduate (GR) Must be enrolled in one of the following Campuses: Main (M),,,201610,201610,Fall Semester 2016 (View Only),202300,Summer Session 2023 (View Only),24,N,
