course_number,title,credit_hours,description,prerequisites,corequisites,level,cross_listings,source_url,source,conflict,conflict_note,credit_min,credit_max,division,department,college,restrictions,course_attributes,core_attributes,term_effective,first_term_listed,first_term_name,last_term_listed,last_term_name,terms_listed_count,currently_listed,catalog_nd_edu_match
CSE 10001,Principles of Computing,3,"As computing and technology become increasingly intertwined with everyday life, it is essential that everyone develops a basic understanding of how computing works. In this course, students will explore the foundations of computing: hardware, software, and communications and examine the underlying concepts and ideas that transform digital information into the innovations we utilize and depend on. To gain a deeper understanding of computing at a technical level, students will develop basic programming skills via regular coding assignments and software projects. Moreover, to relate computing to different disciplines, the social, economic, and political impact of computing will be discussed.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,,,3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Holy Cross College (HC) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Main (M) Must be enrolled in one of the following Classes: Freshman (01),WKST-Core Science & Technology WKST,Satisfies the following University Core Requirements: WKST-Core Science & Technology,201800,201800,Summer Session 2018 (View Only),202610,Fall Semester 2026,27,Y,exact
CSE 10024,History of Artificial Intelligence,3,"How can we discuss the present and future of Artificial Intelligence if we don't understand its past and how we arrived at our current situation? As the pervasiveness of Artificial Intelligence (AI) in our lives and society reaches new levels, new and old questions arise, demonstrating the urgency in equipping present and future generations with tools to understand the evolution of AI better. For over 70 years, AI has provided us with an enthusiastic sequence of events beyond the continuous cycles of hype and disillusion. Understanding how these events unfolded is crucial to understanding and debating AI today and foreseeing its future applications and challenges. The ""History of Artificial Intelligence"" course has three main learning goals: 1) identify critical events that influenced the rise of AI and align them with the history of related scientific disciplines; 2) describe the various phases of AI's evolution and context and discuss their influence in present discussions; and, 3) reflect on AI's ethical/societal implications and critique current/possible applications.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,,,3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Holy Cross College (HC) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Main (M),ZIMB - Instl Method Both (Adm) ZIMB,,202300,202300,Summer Session 2023 (View Only),202610,Fall Semester 2026,12,Y,exact
CSE 10101,Script Based Programming 1,3,"Introduction to programming for students without prior programming experience. Programming structures suitable for basic computation. Elements of computer organization and networking. Development of programming skills including data manipulation, multimedia programming, and networking. Standards for exchange and presentation of data. Comprehensive programming experience using Python.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=201600,banner,Y,2 catalog versions of CSE 10101 differ by title/description (term_effective 201420),3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Holy Cross College (HC) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Departments: Computer Applications (CAPP) Must be enrolled in one of the following Campuses: Main (M),CDCR Comptng & Digtl Tech Core CDCR,,201420,201420,Spring Semester 2015 (View Only),201600,Summer Session 2016 (View Only),7,N,
CSE 10101,Elements of Computing I,3,"An introduction to the technical and social dimensions of computing. This course assumes no prior programming experience and emphasizes computational thinking, problem-solving, object-oriented programming, and programming literacy using Python. Topics covered include basic syntax, data types, conditional execution, control flow structures, file I/O, and basic data manipulation. This includes basic programming constructs such as data, variables, functions, conditionals, loops, lists, files, sets, and dictionaries. Also addresses the social and historical dimensions of computing, stakeholder analysis, design requirements, and research in technology domains.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,Y,2 catalog versions of CSE 10101 differ by title/description (term_effective 201610),3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Holy Cross College (HC) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Departments: Computer Applications (CAPP) Must be enrolled in one of the following Campuses: Main (M),CDCR Comptng & Digtl Tech Core CDCR ZIMB - Instl Method Both (Adm) ZIMB,,201610,201610,Fall Semester 2016 (View Only),202610,Fall Semester 2026,35,Y,exact
CSE 10102,Script Based Programming 2,3,"CSE 10102/CDT 30020 is the second course in the core programming sequence in the Computing & Digital Technologies Minor. Building on your prior experience with the Python programming language, you will explore advanced programming paradigms such as functional and object-oriented programming, familiarize yourself with elements of software engineering such as the command line interface, version control, and development environments, and utilize web and cloud-based services. To demonstrate your mastery of these skills and concepts, you will work on an interdisciplinary team project throughout the semester that applies your knowledge to a problem related to one of the CDT tracks.",Computer Science and Engr. 10101 OR Computer Science and Engr. 30010,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=201615,banner,Y,2 catalog versions of CSE 10102 differ by title/description (term_effective 201520),3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Holy Cross College (HC) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Main (M),,,201520,201520,Spring Semester 2016 (View Only),201615,EMBA Fall 2016 (View Only),5,N,
CSE 10102,Elements of Computing II,3,"Intermediate level programming in Python, building on concepts covered in Elements of Computing I. Object-oriented programming and Python development environments. Topics covered include data structures; relational database systems; and data manipulation, analysis, and communication in a Python programming environment.",Computer Science and Engr. 10101 OR Computer Science and Engr. 30010,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,Y,2 catalog versions of CSE 10102 differ by title/description (term_effective 201620),3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Holy Cross College (HC) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Main (M),,,201620,201620,Spring Semester 2017 (View Only),202610,Fall Semester 2026,33,Y,exact
CSE 10124,Introduction to Using Generative AI,3,"This course introduces students to the principles, capabilities, and societal impacts of modern large language models (LLMs) and other foundational models that power today’s AI systems. Students will learn effective prompt engineering techniques to elicit high-quality responses, the mathematical foundations of text generation, and examine how different models approach the same problem, highlighting both their strengths and limitations. A key focus of the course is developing critical thinking about AI systems: students will analyze common model failure modes, investigate why models produce incorrect or misleading outputs, and practice strategies for verification and evaluation. Additional topics include the energy and environmental costs of large-scale AI, ethical considerations in model design and deployment, and emerging issues in multimodal systems and agentic workflows. Through hands-on projects and iterative experimentation, students will build the knowledge and skills needed to engage thoughtfully and responsibly with modern AI technologies, both in professional and academic environments.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202600,banner,Y,2 catalog versions of CSE 10124 differ by description (term_effective 202520),3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Holy Cross College (HC) Non-matriculating (NM) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Main (M),,,202520,202520,Spring Semester 2026 (View Only),202600,Summer Session 2026 (View Only),2,N,
CSE 10124,Introduction to Using Generative AI,3,"CSE 10124 is a technical elective course in the Computer Science and Engineering program at the University of Notre Dame. Over the course of the semester, students will build and train, from scratch, a large-language model (LLM) similar to GPT2. Along the way students will learn the fundamentals of generative ai, including topics such as: the transformer architecture, pre-training dynamics, SFT and RLHF, RAG, and agentic harnesses and workflows. Students will build examples of all topics from scratch. Experience in programming (python particularly) is not required but highly recommended.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,Y,2 catalog versions of CSE 10124 differ by description (term_effective 202610),3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Holy Cross College (HC) Non-matriculating (NM) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Main (M),,,202610,202610,Fall Semester 2026,202610,Fall Semester 2026,1,Y,exact
CSE 10150,Responsible and Ethical AI,3,"This course provides a comprehensive exploration of the intersection between artificial intelligence and ethical responsibility, equipping students with the knowledge and critical thinking skills necessary to navigate the challenges of AI deployment in society. Beginning with foundational concepts, students will gain insight into machine learning, neural networks, and data-driven decision-making, setting the stage for discussions on the ethical concerns that arise from these technologies, including bias, privacy risks, and transparency issues. Through real-world case studies in domains like healthcare, finance, social media, and governance, students will evaluate both the promises and perils of AI, applying ethical frameworks such as deontology, utilitarianism, and fairness guidelines to propose responsible solutions. The course further examines pressing topics such as data privacy, AI accountability, regulation, and governance, providing a global perspective on AI policy efforts and industry standards. As AI continues to shape the workforce, the environment, and public trust in media, students will critically engage with its societal impact, debating automation, misinformation, and the digital divide. By the end of the course, students will synthesize their knowledge through discussions, project presentations, and reflections on future trends, ensuring they emerge as informed and ethical contributors to the evolving AI landscape.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,,,3,3,Undergraduate,Computer Science and Engr.,Pre-college,"Must be enrolled in one of the following Levels: Pre-College (PR) Must be enrolled in one of the following Colleges: Pre-college (PR) Must be enrolled in one of the following Fields of Study (Major, Minor or Concentration): NEON - Natl Educ Opp Netwrk (EDEQ) Must be enrolled in one of the following Campuses: Main (M)",,,202510,202510,Fall Semester 2025 (View Only),202610,Fall Semester 2026,4,Y,exact
CSE 14101,Principles of Computing,3,"Problem solving is a key intellectual activity. Computer technology has become an important tool to help solve problems in a wide range of disciplines, from the natural sciences, engineering and mathematics to business, architecture, the social sciences and medicine. The strength of computer technology is that it can be programmed to perform nearly any task. While effective programs are available for many kinds of tasks, each program can only perform the tasks anticipated when it was designed. Thus to fully utilise the potential of computer technology, it is necessary to build programs that are specifically designed to solve a particular problem. Students taking this unit learn to solve problems via programming, with a focus on building small programs for specialised tasks. The unit is organised around a number of problems that the students solve as the unit progresses. Many of the problems have a focus on data, and require tasks such as data retrieval, extraction, conversion, aggregation, cross referencing, filtering, calculation, processing and storage. Other problems involve techniques such as search, enumeration, backtracking and divide and conquer. To implement solutions, students learn the fundamentals of programming using a high-level programming language. In addition to solving particular problems, the unit includes a focus on the problem-solving process itself including problem definition, analysis, generalisation, decomposition into sub-problems, reduction to previously solved problems and evaluation of solutions.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=201910,banner,Y,6 catalog versions of CSE 14101 differ by title/description (term_effective 201910),3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Dublin Ireland (IR) (IR) Perth Australia (SC & EG) (PA) Rome Italy (Undergrad - JCU) (RE),"ZOIR - Dublin, Ireland (IR) ZOIR ZOPA - Perth, Australia (PA) ZOPA ZORE - Rome, Italy - UG (RE) ZORE",,201910,201910,Fall Semester 2019 (View Only),201910,Fall Semester 2019 (View Only),1,N,
CSE 14101,Principles of Computing,3,"Problem solving is a key intellectual activity. Computer technology has become an important tool to help solve problems in a wide range of disciplines, from the natural sciences, engineering and mathematics to business, architecture, the social sciences and medicine. The strength of computer technology is that it can be programmed to perform nearly any task. While effective programs are available for many kinds of tasks, each program can only perform the tasks anticipated when it was designed. Thus to fully utilise the potential of computer technology, it is necessary to build programs that are specifically designed to solve a particular problem. Students taking this unit learn to solve problems via programming, with a focus on building small programs for specialised tasks. The unit is organised around a number of problems that the students solve as the unit progresses. Many of the problems have a focus on data, and require tasks such as data retrieval, extraction, conversion, aggregation, cross referencing, filtering, calculation, processing and storage. Other problems involve techniques such as search, enumeration, backtracking and divide and conquer. To implement solutions, students learn the fundamentals of programming using a high-level programming language. In addition to solving particular problems, the unit includes a focus on the problem-solving process itself including problem definition, analysis, generalisation, decomposition into sub-problems, reduction to previously solved problems and evaluation of solutions.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=201920,banner,Y,6 catalog versions of CSE 14101 differ by title/description (term_effective 201920),3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Dublin Ireland (IR) (IR) Perth Australia (SC & EG) (PA) Rome Italy (Undergrad - JCU) (RE),"ZOIR - Dublin, Ireland (IR) ZOIR ZOPA - Perth, Australia (PA) ZOPA ZORE - Rome, Italy - UG (RE) ZORE",,201920,201920,Spring Semester 2020 (View Only),201920,Spring Semester 2020 (View Only),1,N,
CSE 14101,Elements of Computing I,3,"Introduction to programming using the Python language. This course assumes no prior programming experience and emphasizes computational thinking, problem-solving, object-oriented programming, and programming literacy. Topics covered include basic syntax, data types, conditional execution, control flow structures, file I/O, and basic data manipulation. This includes basic programming constructs such as data, variables, functions, conditionals, loops, lists, files, sets, and dictionaries.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202200,banner,Y,6 catalog versions of CSE 14101 differ by title/description (term_effective 202000),3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Holy Cross College (HC) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Dublin Ireland (IR) (IR) Perth Australia (SC & EG) (PA) Rome Italy (Undergrad - JCU) (RE),,,202000,202000,Summer Session 2020 (View Only),202200,Summer Session 2022 (View Only),7,N,
CSE 14101,Elements of Computing I,3,"Introduction to programming using the Python language. This course assumes no prior programming experience and emphasizes computational thinking, problem-solving, object-oriented programming, and programming literacy. Topics covered include basic syntax, data types, conditional execution, control flow structures, file I/O, and basic data manipulation. This includes basic programming constructs such as data, variables, functions, conditionals, loops, lists, files, sets, and dictionaries.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202210,banner,Y,6 catalog versions of CSE 14101 differ by title/description (term_effective 202210),3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Holy Cross College (HC) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Dublin Ireland (IR) (IR) Perth Australia (SC & EG) (PA) Rome Italy (Undergrad - JCU) (RE),"ZOPA - Perth, Australia (PA) ZOPA ZORE - Rome, Italy - UG (RE) ZORE",,202210,202210,Fall Semester 2022 (View Only),202210,Fall Semester 2022 (View Only),1,N,
CSE 14101,Elements of Computing I,4-Mar,"Introduction to programming using the Python language. This course assumes no prior programming experience and emphasizes computational thinking, problem-solving, object-oriented programming, and programming literacy. Topics covered include basic syntax, data types, conditional execution, control flow structures, file I/O, and basic data manipulation. This includes basic programming constructs such as data, variables, functions, conditionals, loops, lists, files, sets, and dictionaries.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202410,banner,Y,6 catalog versions of CSE 14101 differ by title/description (term_effective 202220),3,4,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Holy Cross College (HC) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Hong Kong China (HKUST) (HT) Dublin Ireland (IR) (IR) Perth Australia (SC & EG) (PA) Rome Italy (Undergrad - JCU) (RE) Sydney Australia (SY),"ZOHT- Hong Kong, China (HKUST) ZOHT ZOPA - Perth, Australia (PA) ZOPA ZORE - Rome, Italy - UG (RE) ZORE ZOSY-Sydney,Australia ZOSY",,202220,202220,Spring Semester 2023 (View Only),202410,Fall Semester 2024 (View Only),7,N,
CSE 14101,Elements of Computing I,4-Feb,"Introduction to programming using the Python language. This course assumes no prior programming experience and emphasizes computational thinking, problem-solving, object-oriented programming, and programming literacy. Topics covered include basic syntax, data types, conditional execution, control flow structures, file I/O, and basic data manipulation. This includes basic programming constructs such as data, variables, functions, conditionals, loops, lists, files, sets, and dictionaries. LB - Leuven, Belgium This course is an introduction to Python programming with a focus on the concepts of programming specifically applicable to the processing and analysis of spatial data. A student at the end should be able to work out a solution strategy to analyze spatial data based on a general scientific problem, write out program codes that allow for processing and analyzing spatial data, and develop simple programming applications in existing GIS software.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,Y,6 catalog versions of CSE 14101 differ by title/description (term_effective 202420),2,4,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Holy Cross College (HC) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Hong Kong China (HKUST) (HT) Dublin Ireland (IR) (IR) Leuven Belgium (LB) Perth Australia (SC & EG) (PA) Rome Italy (Undergrad - JCU) (RE) Sydney Australia (SY),"Publish in Bulletin ZCAT ZOHT- Hong Kong, China (HKUST) ZOHT ZOLB - Leuven, Belgium (LB) ZOLB ZOPA - Perth, Australia (PA) ZOPA ZORE - Rome, Italy - UG (RE) ZORE ZOSY-Sydney,Australia ZOSY",,202420,202420,Spring Semester 2025 (View Only),202610,Fall Semester 2026,6,Y,exact
CSE 14102,Elements of Computing II,3,"Intermediate level programming in Python, building on concepts covered in Elements of Computing I. Object-oriented programming and Python development environments. Topics covered include data structures; relational database systems; and data manipulation, analysis, and communication in a Python programming environment.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,,,3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Holy Cross College (HC) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG),OLF-Fully Online (100 percent) OLF Publish in Bulletin ZCAT,,202100,202100,Summer Session 2021 (View Only),202610,Fall Semester 2026,18,Y,exact
CSE 19899,CSE 10000 Transfer Non-major Elective,0-8,CSE 10000 Transfer Non-major Elective,,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,,,0,8,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Holy Cross College (HC) Non-matriculating (NM) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Main (M),,,202320,202320,Spring Semester 2024 (View Only),202610,Fall Semester 2026,10,Y,
CSE 19999,CSE 10000 Transfer Elective,0-8,CSE 10000 Transfer Elective,,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,,,0,8,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Holy Cross College (HC) Non-matriculating (NM) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Main (M),,,202320,202320,Spring Semester 2024 (View Only),202610,Fall Semester 2026,10,Y,
CSE 20024,History of Artificial Intelligence,3,"How can we discuss the present and future of Artificial Intelligence if we don't understand its past and how we arrived at our current situation? As the pervasiveness of Artificial Intelligence (AI) in our lives and society reaches new levels, new and old questions arise, demonstrating the urgency in equipping present and future generations with tools to understand the evolution of AI better. For over 70 years, AI has provided us with an enthusiastic sequence of events beyond the continuous cycles of hype and disillusion. Understanding how these events unfolded is crucial to understanding and debating AI today and foreseeing its future applications and challenges. The ""History of Artificial Intelligence"" course has three main learning goals: 1) identify critical events that influenced the rise of AI and align them with the history of related scientific disciplines; 2) describe the various phases of AI's evolution and context and discuss their influence in present discussions; and, 3) reflect on AI's ethical/societal implications and critique current/possible applications.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,,,3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Holy Cross College (HC) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Main (M),,,202300,202300,Summer Session 2023 (View Only),202610,Fall Semester 2026,12,Y,exact
CSE 20033,Functional Programming,3,"The focus in this course is on the effective use of the computer in problem solving. The student will learn how to formulate data and procedural abstractions and deal with the complexities of large software systems. As a vehicle for handling this complexity, the functional programming language scheme will be used.",( Computer Science and Engr. 20232 OR Computer Science and Engr. 232 ),,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=200650,banner,,,3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Main (M),Inactive-CHGT - CHEG TechElect CHGT Inactive-ENCH-CHEG EGCHEM Elec ENCH,,200500,200500,Summer Session 2005 (View Only),200650,Year 2006-07 (View Only),8,N,
CSE 20110,Discrete Mathematics,3,"Introduction to mathematical techniques fundamental to computer engineering and computer science. Topics: mathematical logic, induction, set theory, relations, functions, recursion, recurrence relations, introduction to asymptotic analysis, algebraic structures, graphs, and machine computation.",Mathematics 10560 OR Mathematics 10092,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,,,3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Holy Cross College (HC) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Main (M),Inactive-CHGT - CHEG TechElect CHGT Inactive-ENCH-CHEG EGCHEM Elec ENCH,,200400,200500,Summer Session 2005 (View Only),202610,Fall Semester 2026,80,Y,exact
CSE 20133,Introduction to Computing for EE Majors,3,"This course introduces Electrical Engineering majors to computational thinking, and develops their ability to solve engineering problems in software. Students will learn structured programming, algorithm analysis and development, C syntax and semantics, logical and syntactical debugging, and software engineering fundamentals. Students will engage in practical, hands-on programming exercises both inside and outside of class",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,,,3,3,Undergraduate,Computer Science and Engr.,College of Engineering,"Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Holy Cross College (HC) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Fields of Study (Major, Minor or Concentration): Electrical Engineering (EE) Must be enrolled in one of the following Campuses: Main (M)",,,201510,201510,Fall Semester 2015 (View Only),202610,Fall Semester 2026,39,Y,exact
CSE 20147,Basic Data Science in Python & R,3,"This course offers students a comprehensive overview of the foundational concepts, tools, and techniques that define the field of data science. Data science can be broadly divided into two distinct (though overlapping) areas of data engineering and data analytics; this course focuses on the analytics. Designed for beginners, this course bridges the gap between theory and practical application, enabling participants to explore how data drives decision-making across various disciplines. It is open to all majors outside of computer science and engineering, and assumes no knowledge of statistics or programming languages. Students will have the opportunity to work in either Python or R.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,,,3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Holy Cross College (HC) Non-matriculating (NM) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Main (M),,,202500,202500,Summer Session 2025 (View Only),202610,Fall Semester 2026,5,Y,exact
CSE 20176,The Archeology of Hacking,3,"""Hacking"" is one of the most pressing topics of technological and societal interest. Yet, it is one of the most misunderstood and mischaracterized practices in the public sphere, given its ethical and technical complexities. In this course we will combine anthropological and computer science methods to explore the digital tools, practices, and sociocultural histories of hacking with a focus on their context of occurrence from the late 1960s to the present. Our goal is to help students think anthropologically about computing as well as technically about the digital mediations that we depend on in our lives.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202510,banner,Y,2 catalog versions of CSE 20176 differ by title (term_effective 202220),3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Holy Cross College (HC) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Main (M),WKIN - Core Integration WKIN,,202220,202220,Spring Semester 2023 (View Only),202510,Fall Semester 2025 (View Only),10,N,
CSE 20176,Hacking,3,"""Hacking"" is one of the most pressing topics of technological and societal interest. Yet, it is one of the most misunderstood and mischaracterized practices in the public sphere, given its ethical and technical complexities. In this course we will combine anthropological and computer science methods to explore the digital tools, practices, and sociocultural histories of hacking with a focus on their context of occurrence from the late 1960s to the present. Our goal is to help students think anthropologically about computing as well as technically about the digital mediations that we depend on in our lives.",,,undergrad,,https://bxeregprod.oit.nd.edu/StudentRegistration/ssb/courseSearchResults/courseSearchResults?txt_subject=CSE&txt_term=202610,banner,Y,2 catalog versions of CSE 20176 differ by title (term_effective 202520),3,3,Undergraduate,Computer Science and Engr.,College of Engineering,Must be enrolled in one of the following Levels: Employee Non-Degree (EM) Graduate Non-Degree (GD) Holy Cross College (HC) St. Mary's College (SM) Undergraduate Non-Degree (UD) Undergraduate (UG) Must be enrolled in one of the following Campuses: Main (M),WKIN - Core Integration WKIN,Satisfies the following University Core Requirements: WKIN - Core Integration,202520,202520,Spring Semester 2026 (View Only),202610,Fall Semester 2026,3,Y,exact
